"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"13-63","13-6",13,6,-49.8666666666667,-51.9327404943168,-59.6432687085913,-55.703046777525,-59.2970080581611,-67.2056091498863,135
"13-73","13-7",13,7,-48.6666666666667,-50.61725807732,-56.3180685503266,-57.1695067196366,-49.7312339485945,-69.6635084087029,135
"13-83","13-8",13,8,-51.0141506811232,-55.4146745915432,-59.4977065819171,-59.2903971776488,-50.889721645482,-68.2234686505818,135
"14-33","14-3",14,3,-54.5163948352022,-55.3166676714696,-47.2043598326115,-59.6038911660892,-59.1492337952845,-74.8028293241695,135
"14-73","14-7",14,7,-51.4130033460251,-50.9023530233208,-57.6908999634903,-58.498643100226,-42.2496916435399,-69.7675797852877,135
"14-83","14-8",14,8,-52.9216569363358,-48.9173407596175,-58.1784090613878,-57.0413647342995,-50.3879902578315,-73.8328949270126,135
"15-33","15-3",15,3,-55.5757575757576,-56.2183981800873,-48.8477138117522,-62.6756008668243,-57.1409586056645,-72.7678778719583,135
"15-73","15-7",15,7,-52.7515151515152,-54.5169910621115,-57.7517739847982,-60.2981296513905,-46.6528640441684,-72.8969962511715,135
"15-83","15-8",15,8,-52.1121212121212,-53.4820599250936,-56.7873380769933,-61.0353692201518,-49.0148250049955,-74.7799666001913,135
"16-33","16-3",16,3,-54.7272727272727,-58.1238982157273,-47.7572628800848,-63.5383572796935,-56.2188558173272,-74.2941317941318,135
"16-73","16-7",16,7,-53.2080900750626,-50.3641899091337,-53.2583785932546,-59.2994174348751,-46.9698935085533,-73.6449214482451,135
"16-83","16-8",16,8,-53.1727272727273,-54.4479092301487,-59.9023566096351,-59.9305555555556,-47.7153154395318,-75.6952296964629,135
"17-33","17-3",17,3,-54.6939393939394,-56.7278242766381,-53.0251284497824,-61.9053623188406,-55.9878575085948,-73.7768725445702,135
"17-73","17-7",17,7,-53.6181818181818,-58.3260419156905,-54.9264382676147,-61.477317251462,-44.3769507803121,-75.1127201897019,135
"17-83","17-8",17,8,-55.4727272727273,-55.1613904066614,-54.3914908620791,-59.4402113459399,-49.3476570088149,-74.7014519056261,135
"18-33","18-3",18,3,-56.9606060606061,-55.6818506459923,-48.2922679783421,-64.7157025293248,-56.7767681093992,-75.9736127633447,135
"18-73","18-7",18,7,-55.1056157909369,-63.2916684482663,-58.6347091605712,-64.9152730047331,-45.2763993111563,-73.7520833333333,135
