pdq,Seasonal PDQ,AIC
"(4, 0, 0)","(3, 0, 0, 52)",779.3980873963792
"(4, 0, 0)","(3, 0, 1, 52)",1289.2370181631554
"(4, 0, 0)","(3, 1, 0, 52)",16.0
"(4, 0, 0)","(3, 1, 1, 52)",18.0
"(4, 0, 0)","(4, 0, 0, 52)",18.0
"(4, 0, 0)","(4, 0, 1, 52)",20.0
"(4, 0, 0)","(4, 1, 0, 52)",18.0
"(4, 0, 0)","(4, 1, 1, 52)",20.0
"(4, 0, 1)","(0, 0, 0, 52)",3387.8521899868106
"(4, 0, 1)","(0, 0, 1, 52)",11823.986849804875
"(4, 0, 1)","(0, 1, 0, 52)",2591.064511770603
"(4, 0, 1)","(0, 1, 1, 52)",1729.375150533376
"(4, 0, 1)","(1, 0, 0, 52)",2551.9363739811342
"(4, 0, 1)","(1, 0, 1, 52)",11022.250431491648
"(4, 0, 1)","(1, 1, 0, 52)",1702.4749717279733
"(4, 0, 1)","(1, 1, 1, 52)",1699.1087338378504
"(4, 0, 1)","(2, 0, 0, 52)",1679.8318338052547
"(4, 0, 1)","(2, 0, 1, 52)",1775.4032664863364
"(4, 0, 1)","(2, 1, 0, 52)",789.5698985338561
"(4, 0, 1)","(2, 1, 1, 52)",806.806461312615
"(4, 0, 1)","(3, 0, 0, 52)",788.91254697825
"(4, 0, 1)","(3, 0, 1, 52)",829.006215906468
"(4, 0, 1)","(3, 1, 0, 52)",18.0
"(4, 0, 1)","(3, 1, 1, 52)",20.0
"(4, 0, 1)","(4, 0, 0, 52)",20.0
"(4, 0, 1)","(4, 0, 1, 52)",22.0
"(4, 0, 1)","(4, 1, 0, 52)",20.0
"(4, 0, 1)","(4, 1, 1, 52)",22.0
"(4, 1, 0)","(0, 0, 0, 52)",3379.4562792920005
"(4, 1, 0)","(0, 0, 1, 52)",6776.412505567552
"(4, 1, 0)","(0, 1, 0, 52)",2585.2894642788815
"(4, 1, 0)","(0, 1, 1, 52)",1719.2934510775065
"(4, 1, 0)","(1, 0, 0, 52)",2538.8128602929655
"(4, 1, 0)","(1, 0, 1, 52)",8809.65701538329
"(4, 1, 0)","(1, 1, 0, 52)",1679.9255332268433
"(4, 1, 0)","(1, 1, 1, 52)",1668.901517894713
"(4, 1, 0)","(2, 0, 0, 52)",1666.526595018157
"(4, 1, 0)","(2, 0, 1, 52)",4309.1742095312875
"(4, 1, 0)","(2, 1, 0, 52)",774.4883607355274
"(4, 1, 0)","(2, 1, 1, 52)",774.8499651143748
"(4, 1, 0)","(3, 0, 0, 52)",770.6631110733199
"(4, 1, 0)","(3, 0, 1, 52)",1872.109639029248
"(4, 1, 0)","(3, 1, 0, 52)",16.0
"(4, 1, 0)","(3, 1, 1, 52)",18.0
"(4, 1, 0)","(4, 0, 0, 52)",18.0
"(4, 1, 0)","(4, 0, 1, 52)",20.0
"(4, 1, 0)","(4, 1, 0, 52)",18.0
"(4, 1, 0)","(4, 1, 1, 52)",20.0
"(4, 1, 1)","(0, 0, 0, 52)",3377.677217655866
"(4, 1, 1)","(0, 0, 1, 52)",16482.873111532706
"(4, 1, 1)","(0, 1, 0, 52)",2572.3814846642777
"(4, 1, 1)","(0, 1, 1, 52)",1698.4057960125153
"(4, 1, 1)","(1, 0, 0, 52)",2530.1629907347747
"(4, 1, 1)","(1, 0, 1, 52)",nan
"(4, 1, 1)","(1, 1, 0, 52)",1673.7053933976497
"(4, 1, 1)","(1, 1, 1, 52)",1666.7378367923475
"(4, 1, 1)","(2, 0, 0, 52)",1659.8167776728305
"(4, 1, 1)","(2, 0, 1, 52)",2391.954536258576
"(4, 1, 1)","(2, 1, 0, 52)",776.4075671911056
"(4, 1, 1)","(2, 1, 1, 52)",776.6379225817041
"(4, 1, 1)","(3, 0, 0, 52)",772.3805789496289
"(4, 1, 1)","(3, 0, 1, 52)",1618.955810714089
"(4, 1, 1)","(3, 1, 0, 52)",18.0
"(4, 1, 1)","(3, 1, 1, 52)",20.0
"(4, 1, 1)","(4, 0, 0, 52)",20.0
"(4, 1, 1)","(4, 0, 1, 52)",22.0
"(4, 1, 1)","(4, 1, 0, 52)",20.0
"(4, 1, 1)","(4, 1, 1, 52)",22.0
