,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
874,States,Georgia,2016,4,672,14,4,2.68,2.08,0.6
875,States,Hawaii,2016,4,158,7,2,5.7,4.43,1.27
876,States,Idaho,2016,4,20,0,3,15,0,15
877,States,Illinois,2016,4,497,43,10,10.66,8.65,2.01
878,States,Indiana,2016,4,131,4,2,4.58,3.05,1.53
879,States,Iowa,2016,4,97,3,0,3.09,3.09,0
880,States,Kansas,2016,4,115,5,0,4.35,4.35,0
881,States,Kentucky,2016,4,315,7,2,2.86,2.22,0.63
882,States,Louisiana,2016,4,618,12,5,2.75,1.94,0.81
883,States,Maine,2016,4,67,1,1,2.99,1.49,1.49
884,States,Maryland,2016,4,18,0,0,0,0,0
885,States,Massachusetts,2016,4,444,15,4,4.28,3.38,0.9
886,States,Michigan,2016,4,777,54,6,7.72,6.95,0.77
887,States,Minnesota,2016,4,330,16,3,5.76,4.85,0.91
888,States,Mississippi,2016,4,136,4,0,2.94,2.94,0
889,States,Missouri,2016,4,452,8,2,2.21,1.77,0.44
890,States,Montana,2016,4,97,3,1,4.12,3.09,1.03
891,States,Nebraska,2016,4,100,2,0,2,2,0
892,States,Nevada,2016,4,18,1,0,5.56,5.56,0
893,States,New Hampshire,2016,4,17,0,0,0,0,0
894,States,New Jersey,2016,4,X,X,X,X,X,X
895,States,New Mexico,2016,4,392,17,6,5.87,4.34,1.53
896,States,New York,2016,4,1749,85,9,5.37,4.86,0.51
897,States,North Carolina,2016,4,140,4,4,5.71,2.86,2.86
898,States,North Dakota,2016,4,42,0,0,0,0,0
899,States,Ohio,2016,4,941,11,0,1.17,1.17,0
900,States,Oklahoma,2016,4,240,3,6,3.75,1.25,2.5
901,States,Oregon,2016,4,364,20,25,12.36,5.49,6.87
902,States,Pennsylvania,2016,4,576,5,0,0.87,0.87,0
903,States,Rhode Island,2016,4,X,X,X,X,X,X
904,States,South Carolina,2016,4,360,11,3,3.89,3.06,0.83
905,States,South Dakota,2016,4,197,0,1,0.51,0,0.51
906,States,Tennessee,2016,4,194,2,8,5.15,1.03,4.12
907,States,Texas,2016,4,1715,44,27,4.14,2.57,1.57
908,States,Utah,2016,4,873,34,60,10.77,3.89,6.87
909,States,Vermont,2016,4,134,0,1,0.75,0,0.75
910,States,Virginia,2016,4,186,6,0,3.23,3.23,0
911,States,Washington,2016,4,511,22,38,11.74,4.31,7.44
912,States,West Virginia,2016,4,405,2,3,1.23,0.49,0.74
913,States,Wisconsin,2016,4,966,47,0,4.87,4.87,0
914,States,Wyoming,2016,4,46,5,0,10.87,10.87,0
915,States,Puerto Rico,2016,4,0,0,0,0,0,0
916,States,Virgin Islands,2016,4,X,X,X,X,X,X
